brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,Price,rating,Number of Ratings,Number of Reviews
4,1,3,1,16,1,512,0,2,1,0,67990,4,108,6
1,1,3,0,8,1,512,0,2,1,4,57990,4,3712,412
5,1,3,1,16,1,512,0,2,1,0,62300,4,825,95
5,1,3,1,8,1,512,0,2,1,0,52990,3,0,0
5,1,3,1,8,1,512,0,2,1,0,51990,4,85,4
5,1,3,1,16,1,512,0,2,1,0,61990,4,56,7
1,1,3,1,8,5,512,0,2,0,0,63990,4,10,1
5,1,3,1,8,1,512,0,2,1,0,65990,4,17,4
7,1,3,1,8,1,512,0,2,1,0,52990,4,155,20
5,1,3,0,8,1,512,0,2,1,0,49990,3,0,0
1,1,3,1,8,1,512,0,2,1,4,71990,4,91,17
1,1,3,0,8,1,512,0,2,1,0,47990,4,35,2
5,1,3,0,8,1,512,0,2,0,0,48490,4,126,13
1,1,3,1,8,1,512,0,2,1,4,72990,4,74,10
6,1,3,1,16,1,512,0,2,1,4,76990,4,75,17
1,1,3,1,16,1,512,0,2,1,6,89990,4,124,17
6,1,3,0,8,1,512,0,2,1,4,59990,4,1597,228
1,1,3,0,8,1,512,0,2,1,4,65990,4,3850,378
3,1,3,1,8,1,512,0,2,1,0,71990,4,7,1
3,1,3,1,8,1,512,0,2,1,0,71890,4,3,0
5,1,3,1,16,1,512,0,2,1,0,64990,3,0,0
1,1,3,1,16,1,512,0,2,1,0,65990,3,0,0
4,1,3,1,8,1,512,0,2,1,0,55999,4,5,1
1,1,3,1,16,1,512,0,2,1,4,73490,4,213,45
4,1,3,1,16,1,512,0,2,1,0,74490,4,10,0
4,1,3,1,8,1,512,0,2,1,0,58340,4,69,6
7,1,3,1,8,1,512,0,2,1,0,55999,4,6,0
3,1,3,1,16,1,512,0,2,1,0,67990,4,93,9
1,1,3,1,16,1,512,0,2,1,0,59990,4,11,2
1,1,3,1,16,1,512,0,2,1,6,82990,4,262,31
3,1,3,1,8,1,512,0,2,1,2,64190,3,0,0
3,1,3,1,16,1,512,0,2,1,0,70090,4,5,1
1,1,3,0,8,1,512,0,2,1,2,49990,4,45,3
6,1,3,1,8,1,512,0,2,1,0,55490,3,8,1
4,1,3,1,8,5,512,0,2,1,0,97990,5,3,1
1,1,3,6,8,1,512,0,2,1,4,54990,4,1681,227
5,1,3,1,8,1,512,0,2,1,0,59990,4,37,2
5,1,3,1,8,1,512,0,2,1,0,53990,4,61,2
4,1,3,1,16,1,512,0,2,1,0,66999,4,17,1
7,1,3,1,8,5,512,0,2,1,0,60990,4,17,1
1,1,3,0,8,1,512,0,2,1,0,47990,4,1625,152
4,1,3,1,8,1,512,0,2,0,0,59999,4,4,1
3,1,3,0,16,1,512,0,2,1,4,79990,3,0,0
1,1,3,0,8,1,512,0,2,1,4,63990,3,0,0
4,1,3,1,8,1,512,0,2,1,0,63990,4,17,1
1,1,3,1,16,1,512,0,2,1,0,59990,3,0,0
5,1,3,1,8,1,512,0,2,1,0,55990,3,0,0
1,1,3,1,16,1,512,0,2,1,0,59990,3,0,0
4,1,3,1,8,1,512,0,2,1,0,63990,4,3,0
3,1,3,1,16,1,512,0,2,1,2,69490,3,0,0
3,1,3,1,16,1,512,0,2,1,0,89390,3,0,0
1,1,3,1,8,5,512,0,2,1,0,74990,3,0,0
5,1,3,1,8,1,512,0,2,1,0,64990,4,48,12
5,1,3,0,8,1,512,0,2,1,4,66490,4,282,36
3,1,3,1,16,1,512,0,2,1,2,89702,3,0,0
5,1,3,1,16,1,512,0,2,1,2,70990,4,67,4
1,1,3,1,16,1,512,0,2,1,0,58990,3,0,0
